ROUTE,DAY,DELAY
ORD-ATL,SUN,68.08791209
ORD-ATL,MON,91.90405904
ORD-ATL,TUE,70.96412556
ORD-ATL,WED,78.9408867
ORD-ATL,THU,72.07968127
ORD-ATL,FRI,56.97478992
ORD-ATL,SAT,57.23648649
ORD-JFK,SUN,62.53932584
ORD-JFK,MON,87.20481928
ORD-JFK,TUE,73.1884058
ORD-JFK,WED,89.76811594
ORD-JFK,THU,76.74683544
ORD-JFK,FRI,57.17647059
ORD-JFK,SAT,87.75438596
ORD-LAX,SUN,52.17532468
ORD-LAX,MON,70.07123288
ORD-LAX,TUE,57.82911392
ORD-LAX,WED,54.73650794
ORD-LAX,THU,56.19602273
ORD-LAX,FRI,53.75449102
ORD-LAX,SAT,61.16894977
ATL-ORD,SUN,55.61386139
ATL-ORD,MON,76.703125
ATL-ORD,TUE,67.75652174
ATL-ORD,WED,71.76126126
ATL-ORD,THU,71.36078431
ATL-ORD,FRI,54.81702128
ATL-ORD,SAT,49.94666667
JFK-ORD,SUN,61.77419355
JFK-ORD,MON,77.21538462
JFK-ORD,TUE,66.23214286
JFK-ORD,WED,68.53968254
JFK-ORD,THU,60.40277778
JFK-ORD,FRI,52.66101695
JFK-ORD,SAT,61.98245614
LAX-ORD,SUN,53.06437768
LAX-ORD,MON,68.50340136
LAX-ORD,TUE,60.25688073
LAX-ORD,WED,60.4028436
LAX-ORD,THU,56.38028169
LAX-ORD,FRI,56.47058824
LAX-ORD,SAT,72.5631068
ATL-ABE,SUN,57.39285714
ATL-ABE,MON,57.96774194
ATL-ABE,TUE,59.78125
ATL-ABE,WED,56.45454545
ATL-ABE,THU,64.43333333
ATL-ABE,FRI,50.28
ATL-ABE,SAT,56.27272727
ATL-ABQ,SUN,57.5
ATL-ABQ,MON,63.21428571
ATL-ABQ,TUE,87.83333333
ATL-ABQ,WED,56.72727273
ATL-ABQ,THU,101.7
ATL-ABQ,FRI,50.64285714
ATL-ABQ,SAT,46.88888889
ATL-ABY,SUN,52.77419355
ATL-ABY,MON,61.62068966
ATL-ABY,TUE,66.16666667
ATL-ABY,WED,51.26666667
ATL-ABY,THU,61.90625
ATL-ABY,FRI,47.76666667
ATL-ABY,SAT,56.875
ATL-ACY,SUN,75.125
ATL-ACY,MON,51.5
ATL-ACY,TUE,64.85714286
ATL-ACY,WED,44
ATL-ACY,THU,67.45454545
ATL-ACY,FRI,38.8
ATL-ACY,SAT,103.8888889
ATL-AEX,SUN,55
ATL-AEX,MON,63.26
ATL-AEX,TUE,52.26829268
ATL-AEX,WED,57.1627907
ATL-AEX,THU,67.07142857
ATL-AEX,FRI,51.14705882
ATL-AEX,SAT,36
ATL-AGS,SUN,46.36538462
ATL-AGS,MON,55.74074074
ATL-AGS,TUE,59.8852459
ATL-AGS,WED,54.75308642
ATL-AGS,THU,65.3
ATL-AGS,FRI,49.13207547
ATL-AGS,SAT,53.38888889
ATL-ALB,SUN,38.14285714
ATL-ALB,MON,64
ATL-ALB,TUE,67.66666667
ATL-ALB,WED,48.88
ATL-ALB,THU,65.34615385
ATL-ALB,FRI,32.78571429
ATL-ALB,SAT,29.27272727
ATL-ANC,SUN,113.6666667
ATL-ANC,TUE,47
ATL-ANC,WED,75
ATL-ANC,THU,56
ATL-ANC,FRI,33.5
ATL-ANC,SAT,17
ATL-ASE,SUN,66
ATL-ASE,MON,28.66666667
ATL-ASE,TUE,46.5
ATL-ASE,WED,116
ATL-ASE,THU,37.75
ATL-ASE,FRI,52
ATL-ASE,SAT,113.5
ATL-ATW,SUN,84.33333333
ATL-ATW,MON,49.6
ATL-ATW,TUE,37.25
ATL-ATW,WED,57.83333333
ATL-ATW,THU,57.18181818
ATL-ATW,FRI,69.53333333
ATL-ATW,SAT,24.5
ATL-AUS,SUN,51.68292683
ATL-AUS,MON,55.51948052
ATL-AUS,TUE,70.65333333
ATL-AUS,WED,62.34782609
ATL-AUS,THU,58.67021277
ATL-AUS,FRI,49.71428571
ATL-AUS,SAT,58.53333333
ATL-AVL,SUN,62.75757576
ATL-AVL,MON,74.03703704
ATL-AVL,TUE,67.70212766
ATL-AVL,WED,56.37777778
ATL-AVL,THU,49.76086957
ATL-AVL,FRI,55.18181818
ATL-AVL,SAT,95.77777778
ATL-AVP,SUN,28.16666667
ATL-AVP,MON,49.17647059
ATL-AVP,TUE,44.25
ATL-AVP,WED,113
ATL-AVP,THU,46.75
ATL-AVP,FRI,63.33333333
ATL-AVP,SAT,37.85714286
ATL-AZO,FRI,15
ATL-AZO,SAT,93
ATL-BDL,SUN,53.94444444
ATL-BDL,MON,55
ATL-BDL,TUE,53.10416667
ATL-BDL,WED,41.02272727
ATL-BDL,THU,56.98113208
ATL-BDL,FRI,42.5
ATL-BDL,SAT,56.63157895
ATL-BHM,SUN,42.26190476
ATL-BHM,MON,53.57352941
ATL-BHM,TUE,52.86885246
ATL-BHM,WED,55.28070175
ATL-BHM,THU,54.87179487
ATL-BHM,FRI,46.45762712
ATL-BHM,SAT,45.1
ATL-BMI,SUN,72.40540541
ATL-BMI,MON,47.58974359
ATL-BMI,TUE,79.91428571
ATL-BMI,WED,51.19354839
ATL-BMI,THU,60.12820513
ATL-BMI,FRI,57.33333333
ATL-BMI,SAT,37.05555556
ATL-BNA,SUN,53
ATL-BNA,MON,51.38095238
ATL-BNA,TUE,66.34328358
ATL-BNA,WED,56.38333333
ATL-BNA,THU,45.69879518
ATL-BNA,FRI,68.26470588
ATL-BNA,SAT,40.19354839
ATL-BOS,SUN,60.86363636
ATL-BOS,MON,49.96363636
ATL-BOS,TUE,60.4379562
ATL-BOS,WED,50.24817518
ATL-BOS,THU,56.92517007
ATL-BOS,FRI,51.3
ATL-BOS,SAT,51.66666667
ATL-BQK,SUN,40.5862069
ATL-BQK,MON,64.36
ATL-BQK,TUE,61.23809524
ATL-BQK,WED,69.74074074
ATL-BQK,THU,53.36363636
ATL-BQK,FRI,65.86363636
ATL-BQK,SAT,51
ATL-BTR,SUN,55.62666667
ATL-BTR,MON,67.49484536
ATL-BTR,TUE,68.69318182
ATL-BTR,WED,55.70833333
ATL-BTR,THU,59.02222222
ATL-BTR,FRI,65.53333333
ATL-BTR,SAT,49.28
ATL-BTV,SUN,55.18181818
ATL-BTV,MON,55.64285714
ATL-BTV,TUE,78.2
ATL-BTV,WED,64.69230769
ATL-BTV,THU,50.61538462
ATL-BTV,FRI,64.27272727
ATL-BTV,SAT,35.25
ATL-BUF,SUN,42.35
ATL-BUF,MON,49.51851852
ATL-BUF,TUE,71.82608696
ATL-BUF,WED,54.9
ATL-BUF,THU,62.90322581
ATL-BUF,FRI,49.73913043
ATL-BUF,SAT,30.66666667
ATL-BWI,SUN,45.24038462
ATL-BWI,MON,51.80745342
ATL-BWI,TUE,57.88666667
ATL-BWI,WED,58.13286713
ATL-BWI,THU,61.82105263
ATL-BWI,FRI,55.75776398
ATL-BWI,SAT,44.42666667
ATL-BZN,SUN,402
ATL-BZN,WED,68
ATL-BZN,THU,184
ATL-BZN,SAT,59.5
ATL-CAE,SUN,58.19298246
ATL-CAE,MON,59.15789474
ATL-CAE,TUE,66.85135135
ATL-CAE,WED,62.51388889
ATL-CAE,THU,53.09459459
ATL-CAE,FRI,63.35087719
ATL-CAE,SAT,50.47368421
ATL-CAK,SUN,36.78571429
ATL-CAK,MON,37.79411765
ATL-CAK,TUE,102.2045455
ATL-CAK,WED,70.05
ATL-CAK,THU,49.9
ATL-CAK,FRI,43.38235294
ATL-CAK,SAT,41.875
ATL-CHA,SUN,47.06779661
ATL-CHA,MON,55.05882353
ATL-CHA,TUE,61.67142857
ATL-CHA,WED,57.5505618
ATL-CHA,THU,59.20238095
ATL-CHA,FRI,54.56790123
ATL-CHA,SAT,49.10714286
ATL-CHO,SUN,60.125
ATL-CHO,MON,87.88235294
ATL-CHO,TUE,81.54166667
ATL-CHO,WED,68.9047619
ATL-CHO,THU,49.96153846
ATL-CHO,FRI,84.25
ATL-CHO,SAT,52.26315789
ATL-CHS,SUN,50.36111111
ATL-CHS,MON,48.02777778
ATL-CHS,TUE,61.7826087
ATL-CHS,WED,48.13559322
ATL-CHS,THU,50.05633803
ATL-CHS,FRI,42.28
ATL-CHS,SAT,47
ATL-CID,SUN,59.8
ATL-CID,MON,54.22222222
ATL-CID,TUE,54.53125
ATL-CID,WED,59.42857143
ATL-CID,THU,47.40625
ATL-CID,FRI,62.33333333
ATL-CID,SAT,42.75
ATL-CLE,SUN,44
ATL-CLE,MON,69.73333333
ATL-CLE,TUE,73.5
ATL-CLE,WED,54.73913043
ATL-CLE,THU,60.58064516
ATL-CLE,FRI,62.38888889
ATL-CLE,SAT,45.85714286
ATL-CLT,SUN,43.7184466
ATL-CLT,MON,60.39869281
ATL-CLT,TUE,50.92666667
ATL-CLT,WED,47.09036145
ATL-CLT,THU,54.10576923
ATL-CLT,FRI,41.34265734
ATL-CLT,SAT,47.2
ATL-CMH,SUN,55.57894737
ATL-CMH,MON,47.02564103
ATL-CMH,TUE,61.75862069
ATL-CMH,WED,55.08235294
ATL-CMH,THU,49.02352941
ATL-CMH,FRI,38.26984127
ATL-CMH,SAT,47.11764706
ATL-COS,SUN,48.5
ATL-COS,MON,136.7692308
ATL-COS,TUE,81.75
ATL-COS,WED,65.4
ATL-COS,THU,57.55555556
ATL-COS,FRI,48.22222222
ATL-COS,SAT,53.85714286
ATL-CRW,SUN,77.55172414
ATL-CRW,MON,69.94339623
ATL-CRW,TUE,48.56756757
ATL-CRW,WED,56.71875
ATL-CRW,THU,55.86666667
ATL-CRW,FRI,43.83783784
ATL-CRW,SAT,49.52941176
ATL-CSG,SUN,53.76666667
ATL-CSG,MON,63.91891892
